,type_of_intervention,data_start,date_end,locality,state,country,citation,entered_by,further_notes_comments,Unnamed: 9
92,GS_250,3/12/2020,,alameda_county,CA,USA,http://www.acphd.org/media/559189/alameda-county-press-release-20200312.pdf,UM,,
93,SDO,3/12/2020,,alameda_county,CA,USA,http://www.acphd.org/media/559189/alameda-county-press-release-20200312.pdf,UM,,
97,SD,3/17/2020,,alameda_county,CA,USA,http://www.acphd.org/2019-ncov.aspx,UM,,
98,PC,3/17/2020,,alameda_county,CA,USA,http://www.acphd.org/2019-ncov.aspx,UM,,
99,CPV,3/17/2020,,alameda_county,CA,USA,http://www.acphd.org/2019-ncov.aspx,UM,,
100,NESC,3/17/2020,,alameda_county,CA,USA,http://www.acphd.org/2019-ncov.aspx,UM,,
154,PTQS,3/9/2020,3/16/2020,alameda_county,CA,USA,https://www.usatoday.com/story/travel/cruises/2020/03/16/coronavirus-grand-princess-departs-oakland-lets-off-crew/5058788002/,UM,Grand Princess docked in Port of Oakland,
214,TR_China,2/3/2020,,alameda_county,CA,USA,http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2235,Carina,Nation-wide restriction of foreigners who have traveled to China in the past 14 days,
349,HE,1/26/2020,,alameda_county,CA,USA,https://www.cdph.ca.gov/Programs/OPA/Pages/NR20-001.aspx,Isra,Virus prevention education published in response to early cases in CA,
352,SOE,3/2/2020,,alameda_county,CA,USA,https://www.cdph.ca.gov/Programs/OPA/Pages/NR20-009.aspx,Isra,CA Governor requests money from the Disaster Response Emergency Operations Account to fight COVID-19,
354,SOE,3/4/2020,,alameda_county,CA,USA,https://www.gov.ca.gov/wp-content/uploads/2020/03/3.12.20-EO-N-25-20-COVID-19.pdf,Isra,CA Governor declares state of emergency,
355,PL,3/4/2020,,alameda_county,CA,USA,https://www.gov.ca.gov/wp-content/uploads/2020/03/3.12.20-EO-N-25-20-COVID-19.pdf,Isra,Paid leave policies put in place,
356,SDO,3/9/2020,,alameda_county,CA,USA,https://www.cdph.ca.gov/Programs/OPA/Pages/NR20-016.aspx,Isra,Social distancing for vulnerable/at-risk populations,
